id,first name,email,phone,is_valid
0,vrishab,vrishab.kumar.singh.2254@gmail.com,2051802512.0,1
1,vrishab,vrishab.ramesh.bhatra.4838@gmail.com,2812140441.0,1
2,madhav,madhav.arun.singh.4598@hotmail.com,7635473142.0,1
3,rohan,,8293453178.0,0
4,madhav,,2631775357.0,0
5,raghav,raghav.kumar.ambani.4393@outlook.com,9256195745.0,1
6,raghav,raghav.ramesh.iyengar.4730@yahoo.com,1298737106.0,1
7,,sujal.arun.bhatra.3114@yahoo.com,6488854841.0,0
8,raghav,raghav.arun.reddy.585@hotmail.com,4131575764.0,1
9,pulkit,pulkit.jayant.shetty.2657@gmail.com,4332894265.0,1
10,,pakshal.jayant.jindal.2194@hotmail.com,1284277889.0,0
11,pulkit,pulkit.ramesh.ambani.1171@outlook.com,2137651678.0,1
12,rohan,rohan.jayant.jindal.4781@iitm.ac.in,7010379415.0,1
13,rohan,rohan.rohit.bhatra.386@iitm.ac.in,4698408854.0,1
14,pakshal,pakshal.ramesh.jindal.4886@outlook.com,,0
15,raghav,raghav.aditya.singh.939@yahoo.com,8047877267.0,1
16,,pulkit.arun.ambani.27@iitm.ac.in,4919706735.0,0
17,raghav,raghav.arun.singh.4907@gmail.com,6687206971.0,1
18,raghav,raghav.jayant.shetty.475hotmail@com,1338258951.0,0
19,,pakshal.arun.bhatt.3894@outlook.com,6004182187.0,0
20,pakshal,pakshal.ramesh.shetty.2554@yahoo,6898796145.0,0
21,madhav,madhav.kumar.iyengar.173@gmail.com,1945826486.0,1
22,madhav,madhav.kumar.singh.2707@yahoo.com,9894264595.0,1
23,vrishab,vrishab.rohit.shetty.4418@iitm.ac.in,,0
24,sujal,sujal.kumar.jindal.2903gmail.,7114223633.0,0
25,sujal,sujal.rohit.iyengar.896@outlook.com,2067970820.0,1
26,pulkit,pulkit.arun.jindal.1504@gmail.com,6491309593.0,1
27,pulkit,pulkit.aditya.bhatra.415@hotmail.com,,0
28,madhav,,2627677155.0,0
29,raghav,raghav.rohit.ambani.1269@gmail.com,6110572428.0,1
30,,rohan.ramesh.singh.2570@gmail.com,1245522987.0,0
31,rohan,rohan.kumar.bhatt.562@hotmail.com,3555656321.0,1
32,sujal,sujal.aditya.shetty.4743@hotmail.com,3553440342.0,1
33,vrishab,vrishab.aditya.iyengar.2137@yahoo.com,8370987661.0,1
34,pulkit,pulkit.arun.reddy.3746gmail.,1311570307.0,0
35,rohan,rohan.arun.reddy.1086@iitm.ac.in,9303285822.0,1
36,raghav,raghav.jayant.bhatt.3590@outlook.com,8316648259.0,1
37,raghav,raghav.ramesh.bhatra.1101@outlook.com,2135872495.0,1
38,madhav,madhav.jayant.reddy.4955@yahoo.com,,0
39,pakshal,pakshal.kumar.bhatra.3470@gmail.com,8856990236.0,1
40,raghav,raghav.arun.reddy.1324gmail.,8478529823.0,0
41,,sujal.ramesh.bhatt.4470@gmail.com,3373077218.0,0
42,,raghav.jayant.singh.2932@iitm.ac.in,5736462531.0,0
43,pakshal,pakshal.arun.bhatt.3378@iitm.ac.in,,0
44,,raghav.arun.bhatra.3134@iitm.ac.in,4745927824.0,0
45,pakshal,pakshal.rohit.iyengar.2501@gmail.com,4742303947.0,1
46,vrishab,vrishab.arun.jindal.2690@outlook.com,,0
47,raghav,raghav.kumar.bhatra.2140@outlook.com,2140169349.0,1
48,,pulkit.jayant.iyengar.3575@yahoo.com,3196545325.0,0
49,sujal,sujal.ramesh.jindal.14@iitm,6141226746.0,0
50,rohan,,7473041886.0,0
51,vrishab,vrishab.jayant.bhatt.1572@outlook.com,9333798503.0,1
52,rohan,,4580822352.0,0
53,pulkit,pulkit.aditya.iyengar.3810@outlook.com,7192423780.0,1
54,pulkit,pulkit.ramesh.bhatt.695@iitm.ac.in,7954672204.0,1
55,vrishab,vrishab.jayant.shetty.1632@iitm.ac.in,1632880459.0,1
56,pulkit,pulkit.aditya.bhatra.3731@iitm.ac.in,,0
57,madhav,madhav.ramesh.singh.874@iitm.ac.in,8638257497.0,1
58,pakshal,pakshal.ramesh.ambani.412@hotmail.com,3394039673.0,1
59,,madhav.rohit.iyengar.3626@hotmail.com,7462972995.0,0
60,pulkit,pulkit.jayant.shetty.2272@yahoo.com,7533932947.0,1
61,pulkit,pulkit.kumar.reddy.1921@yahoo,6461974809.0,0
62,madhav,madhav.arun.jindal.1252@hotmail.com,4034047118.0,1
63,pulkit,pulkit.jayant.ambani.3407@outlook.com,,0
64,vrishab,vrishab.kumar.jindal.3908@outlook.com,,0
65,vrishab,vrishab.ramesh.shetty.4000@gmail.com,,0
66,pulkit,pulkit.jayant.jindal.1353@outlook.com,8904911624.0,1
67,,rohan.kumar.jindal.4849@hotmail.com,1116402431.0,0
68,madhav,,2405969000.0,0
69,pakshal,pakshal.rohit.reddy.3454@outlook.com,5646751885.0,1
70,sujal,sujal.jayant.shetty.563@iitm.ac.in,3799264931.0,1
71,madhav,madhav.kumar.bhatt.1955@outlook.com,5837082260.0,1
72,madhav,madhav.rohit.reddy.3022hotmail@com,4518871744.0,0
73,sujal,sujal.jayant.jindal.3250@gmail.com,1851819913.0,1
74,vrishab,vrishab.jayant.bhatra.4637@yahoo.com,,0
75,sujal,sujal.aditya.iyengar.104@out@look.com,8943866829.0,0
76,raghav,raghav.ramesh.ambani.1254@hotmail.com,,0
77,pulkit,pulkit.ramesh.reddy.2641@yahoo.com,4658080160.0,1
78,pulkit,pulkit.arun.ambani.4669@hotmail.com,6922713963.0,1
79,pakshal,,6206015111.0,0
